date_qtr,asced3_code,lfs_status,sex,weight_sum,n
01/05/2005,310,1,1,688802.9819,2557
01/05/2005,310,1,2,692022.1576,2703
01/05/2005,310,2,1,20050.26657,70
01/05/2005,310,2,2,18377.21938,67
01/05/2005,310,3,1,62305.69998,245
01/05/2005,310,3,2,139240.6564,545
01/05/2005,411,1,1,176823.2578,678
01/05/2005,411,1,2,224111.6,881
01/05/2005,411,2,1,2911.851119,11
01/05/2005,411,2,2,6546.042299,26
01/05/2005,411,3,1,19219.37891,78
01/05/2005,411,3,2,76847.36595,304
01/05/2005,413,1,1,NA,NA
01/05/2005,413,1,2,NA,NA
01/05/2005,413,3,1,NA,NA
01/05/2005,421,1,1,156397.5718,605
01/05/2005,421,1,2,165137.0792,617
01/05/2005,421,2,1,8567.670959,33
01/05/2005,421,2,2,7615.305234,27
01/05/2005,421,3,1,13873.67227,55
01/05/2005,421,3,2,36424.50054,149
01/05/2005,500,1,1,7300.34175,25
01/05/2005,500,1,2,3030.886876,14
01/05/2005,500,2,1,NA,NA
01/05/2005,500,2,2,NA,NA
01/05/2005,500,3,1,NA,NA
01/05/2005,500,3,2,NA,NA
01/05/2005,510,1,1,14793.40731,58
01/05/2005,510,1,2,12650.29586,50
01/05/2005,510,2,1,NA,NA
01/05/2005,510,2,2,NA,NA
01/05/2005,510,3,1,NA,NA
01/05/2005,510,3,2,5490.582627,24
01/05/2005,511,1,1,95169.5588,368
01/05/2005,511,1,2,118934.2673,493
01/05/2005,511,2,1,4308.436986,17
01/05/2005,511,2,2,7753.477302,30
01/05/2005,511,3,1,7782.491464,30
01/05/2005,511,3,2,27345.60015,105
01/05/2005,514,1,1,918678.0708,3616
01/05/2005,514,1,2,243005.1835,965
01/05/2005,514,2,1,26314.04693,99
01/05/2005,514,2,2,15096.36326,57
01/05/2005,514,3,1,94557.12435,366
01/05/2005,514,3,2,66498.20561,259
01/05/2005,520,1,1,14015.04627,57
01/05/2005,520,1,2,12833.89423,48
01/05/2005,520,2,1,NA,NA
01/05/2005,520,3,1,6338.24071,25
01/05/2005,520,3,2,18408.44481,71
01/05/2005,521,1,1,2087.964997,10
01/05/2005,521,1,2,5501.865942,23
01/05/2005,521,2,1,NA,NA
01/05/2005,521,2,2,NA,NA
01/05/2005,521,3,1,NA,NA
01/05/2005,521,3,2,2683.907359,11
01/05/2005,524,1,1,NA,NA
01/05/2005,524,1,2,NA,NA
01/05/2005,524,2,1,NA,NA
01/05/2005,524,2,2,NA,NA
01/05/2005,524,3,1,NA,NA
01/05/2005,524,3,2,NA,NA
01/05/2005,611,1,1,833953.1189,3181
01/05/2005,611,1,2,789812.5806,3139
01/05/2005,611,2,1,41556.50503,163
01/05/2005,611,2,2,46080.75435,183
01/05/2005,611,3,1,157860.7328,596
01/05/2005,611,3,2,332061.0332,1249
01/05/2005,613,1,1,293334.562,1197
01/05/2005,613,1,2,289395.8833,1228
01/05/2005,613,2,1,24256.73836,100
01/05/2005,613,2,2,22697.32671,93
01/05/2005,613,3,1,73540.57656,290
01/05/2005,613,3,2,161276.4798,657
01/05/2005,621,1,1,623664.6987,2479
01/05/2005,621,1,2,623689.0545,2507
01/05/2005,621,2,1,60108.13394,225
01/05/2005,621,2,2,49784.16868,206
01/05/2005,621,3,1,161854.6059,649
01/05/2005,621,3,2,443323.8199,1758
01/05/2005,622,1,1,173688.007,678
01/05/2005,622,1,2,128704.9052,502
01/05/2005,622,2,1,25593.4252,100
01/05/2005,622,2,2,20409.93123,78
01/05/2005,622,3,1,111403.7408,436
01/05/2005,622,3,2,177675.4812,688
01/05/2005,623,1,1,103133.3285,382
01/05/2005,623,1,2,64134.56359,242
01/05/2005,623,2,1,14034.86731,52
01/05/2005,623,2,2,8256.237995,27
01/05/2005,623,3,1,79120.58059,308
01/05/2005,623,3,2,150012.737,555
01/05/2007,110,1,1,36266.81165,157
01/05/2007,110,1,2,21690.21777,91
01/05/2007,110,2,1,NA,NA
01/05/2007,110,2,2,NA,NA
01/05/2007,110,3,1,4024.799978,15
01/05/2007,110,3,2,2859.443019,13
01/05/2007,111,1,1,NA,NA
01/05/2007,111,1,2,NA,NA
01/05/2007,114,1,1,7162.127386,29
01/05/2007,114,1,2,3044.041137,13
01/05/2007,114,3,1,NA,NA
01/05/2007,114,3,2,NA,NA
01/05/2007,120,1,1,167925.8357,629
01/05/2007,120,1,2,113610.2127,437
01/05/2007,120,2,1,2776.935597,11
01/05/2007,120,2,2,5608.566568,20
01/05/2007,120,3,1,13274.22604,53
01/05/2007,120,3,2,23069.69398,86
01/05/2007,211,1,1,84165.01188,342
01/05/2007,211,1,2,131267.8409,544
01/05/2007,211,2,1,NA,NA
01/05/2007,211,2,2,NA,NA
01/05/2007,211,3,1,3658.572648,17
01/05/2007,211,3,2,26872.99305,111
01/05/2007,212,1,1,NA,NA
01/05/2007,221,1,1,14016.08437,54
01/05/2007,221,1,2,19266.76505,82
01/05/2007,221,2,1,NA,NA
01/05/2007,221,2,2,NA,NA
01/05/2007,221,3,1,NA,NA
01/05/2007,221,3,2,2837.033323,12
01/05/2007,310,1,1,741585.8642,2761
01/05/2007,310,1,2,772136.0089,3045
01/05/2007,310,2,1,13218.61267,48
01/05/2007,310,2,2,17781.6214,66
01/05/2007,310,3,1,59852.47656,224
01/05/2007,310,3,2,158451.7083,627
01/05/2007,411,1,1,196671.5568,747
01/05/2007,411,1,2,236559.7232,949
01/05/2007,411,2,1,5310.852424,18
01/05/2007,411,2,2,7903.929927,28
01/05/2007,411,3,1,16436.45173,64
01/05/2007,411,3,2,73482.70206,284
01/05/2007,413,1,1,NA,NA
01/05/2007,413,1,2,NA,NA
01/05/2007,413,2,2,NA,NA
01/05/2007,413,3,1,NA,NA
01/05/2007,421,1,1,185972.8323,701
01/05/2007,421,1,2,198919.4839,772
01/05/2007,421,2,1,4757.265822,17
01/05/2007,421,2,2,7560.667766,27
01/05/2007,421,3,1,17025.70769,64
01/05/2007,421,3,2,42511.60576,162
01/05/2007,500,1,1,3948.57984,14
01/05/2007,500,1,2,5343.359845,19
01/05/2007,500,2,1,NA,NA
01/05/2007,500,2,2,NA,NA
01/05/2007,500,3,1,NA,NA
01/05/2007,500,3,2,2424.85989,10
01/05/2007,510,1,1,11279.73128,42
01/05/2007,510,1,2,13065.29998,51
01/05/2007,510,2,1,NA,NA
01/05/2007,510,2,2,NA,NA
01/05/2007,510,3,1,NA,NA
